"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"91","Sinikka Marja-Liisa Keskitalo (Leppl-)","F",37,153,46,19.6505617497544,1988,"Finland","Northern Europe","Europe",4946481,1.09103e+11,0,0,FALSE,42,FALSE,"2:43:00",163,9780
"92","Leena Puotiniemi","F",36,170,52,17.9930795847751,2012,"Finland","Northern Europe","Europe",5413971,2.56706e+11,0,0,FALSE,87,FALSE,"2:42:01",162.016666666667,9721
"93","Christelle Daunay","F",33,162,43,16.3846974546563,2008,"France","Western Europe","Europe",64374990,2.92347e+12,0,0,FALSE,20,FALSE,"2:31:48",151.8,9108
"94","Jocelyne Villeton (Tranchant-)","F",34,170,55,19.0311418685121,1988,"France","Western Europe","Europe",57836486,1.0235e+12,0,0,FALSE,19,FALSE,"2:34:02",154.033333333333,9242
"95","Corinne Raux","F",27,164,50,18.5901249256395,2004,"France","Western Europe","Europe",62704897,2.12411e+12,0,0,FALSE,15,FALSE,"2:35:54",155.9,9354
"96","Gabriela Petra ""Gaby"" Wolf","F",27,169,60,21.0076677987465,1988,"Germany","Western Europe","Europe",78144619,1.39593e+12,0,0,FALSE,27,FALSE,"2:35:11",155.183333333333,9311
"97","Tracey Anne Morris (Jones-)","F",36,170,53,18.3391003460208,2004,"UK","Northern Europe","Europe",59987905,2.39856e+12,0,0,FALSE,29,FALSE,"2:41:00",161,9660
"98","Mara Rosalind Yamauchi (Myers-)","F",34,162,51,19.4330132601738,2008,"UK","Northern Europe","Europe",61806995,2.89056e+12,0,0,FALSE,6,FALSE,"2:27:29",147.483333333333,8849
"99","Freya Murray (-Ross)","F",28,158,44,17.6253805479891,2012,"UK","Northern Europe","Europe",63700300,2.66209e+12,0,0,TRUE,44,FALSE,"2:32:14",152.233333333333,9134
"100","Claire Anne Hallissey (Willer-)","F",29,164,48,17.8465199286139,2012,"UK","Northern Europe","Europe",63700300,2.66209e+12,0,0,TRUE,57,FALSE,"2:35:39",155.65,9339
