Name,Performance,Place,Date
Lorenz BAUM,8:31.24,"Leichtathletikhalle, Mannheim (GER)",26 JAN 2020
Lorenz BAUM,8:35.68,Karlsruhe (GER),23 JAN 2016
Lorenz BAUM,8:27.27,Karlsruhe (GER),25 JAN 2014
Valeriy LUKIN,2:19:28,Moskva (RUS),22 SEP 2019
Mikhail MAKSIMOV,2:22:08,Moskva (RUS),22 SEP 2019
Mikhail MAKSIMOV,2:14:30,Volgograd (RUS),30 APR 2018
Mikhail MAKSIMOV,2:14:07,Volgograd (RUS),01 MAY 2016
Mikhail MAKSIMOV,2:16:02,Kazan (RUS),10 MAY 2015
Mikhail MAKSIMOV,2:19:50,Moskva (RUS),03 MAY 2010
Vít PAVLIŠTA,8:34.36,Jablonec nad Nisou (CZE),13 FEB 2016
Vít PAVLIŠTA,8:38.88,Jablonec nad Nisou (CZE),08 FEB 2014
Vít PAVLIŠTA,8:40.89,Jablonec nad Nisou (CZE),26 JAN 2013
Jonathan BRISKMAN,2:19:17,"Sacramento, CA (USA)",08 DEC 2019
Ryan SMITH,14:23.84,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",07 DEC 2019
Ryan SMITH,14:50.44,"Lewiston, ME (USA)",19 JAN 2019
Ryan SMITH,14:52.27,"Upland, IN (USA)",11 FEB 2017
Mizael CARRERA,8:26.47,"Romeoville, IL (USA)",15 JAN 2016
Mizael CARRERA,8:20.83,"Bloomington, IN (USA)",31 JAN 2014
Ferenc BURUCS,2:27:10,Barcelona (ESP),10 MAR 2019
Ferenc BURUCS,2:20:53,Valencia (ESP),02 DEC 2018
Ferenc BURUCS,2:26:46,Valencia (ESP),19 NOV 2017
Ferenc BURUCS,2:40:02,Valencia (ESP),20 NOV 2016
Ferenc BURUCS,2:34:11,Budapest (HUN),11 OCT 2015
Garrett LEE,4:10.35,"Lincoln, NE (USA)",20 JAN 2018
Garrett LEE,4:10.66,"Iowa City, IA (USA)",28 JAN 2017
Garrett LEE,4:11.09,"Lincoln, NE (USA)",06 FEB 2016
Garrett LEE,4:13.05,"Champaign, IL (USA)",17 JAN 2015
Garrett LEE,4:12.00,"Champaign, IL (USA)",18 JAN 2014
David FUENTES,2:30:11,"Atlanta, GA (USA)",29 FEB 2020
David FUENTES,2:28:24,Beppu (JPN),03 FEB 2019
David FUENTES,2:34:46,"Los Angeles, CA (USA)",13 FEB 2016
David FUENTES,2:31:46,"Dallas, TX (USA)",09 DEC 2012
David FUENTES,2:28:10,"San Antonio, TX (USA)",13 NOV 2011
David FUENTES,2:31:33,"Chicago, IL (USA)",10 OCT 2010
Peter MUTHUBI,2:19:23,Cape Town (RSA),15 SEP 2019
Peter MUTHUBI,2:26:21,Pretoria (RSA),23 FEB 2014
Peter MUTHUBI,2:25:28,Johannesburg (RSA),10 FEB 2013
Peter MUTHUBI,2:17:56,Vereeniging (RSA),04 MAR 2012
Peter MUTHUBI,2:24:51,George (RSA),13 FEB 2011
Peter MUTHUBI,2:28:58,Mafikeng (RSA),21 FEB 2010
Peter MUTHUBI,2:19:04,Durban (RSA),08 FEB 2009
Peter MUTHUBI,2:19:08,Cape Town (RSA),21 SEP 2008
Bilige BAO,2:19:54,Hengshui (CHN),29 SEP 2019
Jae-Wan AN,2:17:58,Seoul (KOR),17 MAR 2019
Jae-Wan AN,2:29:04,Seoul (KOR),18 MAR 2018
Se-ho JO,2:18:43,Gunsan (KOR),14 APR 2019
Se-ho JO,2:21:57,Gyeongju (KOR),21 OCT 2018
Se-ho JO,2:23:32,Seoul (KOR),19 MAR 2017
Se-ho JO,2:19:22,Seoul (KOR),15 MAR 2015
Se-ho JO,2:21:32,Daegu (KOR),14 OCT 2012
Armin FLÜCKIGER,2:18:10,"Five Rings Sports Center, Wuhan (CHN)",27 OCT 2019
Armin FLÜCKIGER,2:22:44,Bregenz (AUT),07 OCT 2018
Armin FLÜCKIGER,2:24:07,Frankfurt (GER),29 OCT 2017
Armin FLÜCKIGER,2:26:28,Torino (ITA),02 OCT 2016
Armin FLÜCKIGER,2:32:15,Zürich (SUI),19 APR 2015
Chris BALESTRINI,8:31.25,Windsor (CAN),10 FEB 2018
Chris BALESTRINI,8:21.38,"New York, NY (USA)",03 FEB 2017
Chris BALESTRINI,8:26.64,London (CAN),05 DEC 2015
Wang XU,2:16:08,Chongqing (CHN),31 MAR 2019
Wang XU,2:17:19,Beijing (CHN),16 SEP 2018
Wang XU,2:20:41,Guangzhou (CHN),10 DEC 2017
Wang XU,2:19:01,Hengshui (CHN),24 SEP 2016
Wang XU,2:16:03,Chongqing (CHN),22 MAR 2015
Wang XU,2:21:13,Xiamen (CHN),02 JAN 2014
Wang XU,2:15:35,Beijing (CHN),25 NOV 2012
Abdellatif MEFTAH,2:21:19,Paris (FRA),14 APR 2019
Abdellatif MEFTAH,2:19:23,"Olympiastadion, Berlin (GER)",12 AUG 2018
Abdellatif MEFTAH,2:14:55,London (GBR),23 APR 2017
Abdellatif MEFTAH,2:11:11,Paris (FRA),12 APR 2015
Abdellatif MEFTAH,2:13:16,"Letzigrund, Zürich (SUI)",17 AUG 2014
Abdellatif MEFTAH,2:11:05,Frankfurt (GER),27 OCT 2013
Abdellatif MEFTAH,2:09:46,Frankfurt (GER),30 OCT 2011
Alberto PUYUELO,9:16.75,Durango (ESP),11 JUL 2015
Alberto PUYUELO,9:41.58,Zaragoza (ESP),30 JUN 2012
Shoji TAKADA,2:20:00,Tokyo (JPN),03 MAR 2019
Shoji TAKADA,2:16:16,Shizuoka (JPN),04 MAR 2018
Shoji TAKADA,2:18:14,Nagano (JPN),17 APR 2016
Shoji TAKADA,2:17:15,Kobe (JPN),17 NOV 2013
Erick Monyenye MOSE,2:19:21,Torreón (MEX),01 MAR 2020
Erick Monyenye MOSE,2:23:41,León (MEX),22 SEP 2019
Erick Monyenye MOSE,2:21:18,Lima (PER),20 MAY 2018
Erick Monyenye MOSE,2:19:25,Ciudad Juárez (MEX),22 OCT 2017
Erick Monyenye MOSE,2:19:19,Casablanca (MAR),30 OCT 2016
Erick Monyenye MOSE,2:12:52,"Houston, TX (USA)",18 JAN 2015
Erick Monyenye MOSE,2:19:45,Cancun (MEX),08 DEC 2013
Erick Monyenye MOSE,2:10:40,Torreón (MEX),04 MAR 2012
Erick Monyenye MOSE,2:12:10,Torreón (MEX),06 MAR 2011
Erick Monyenye MOSE,2:16:54,Guadalajara (MEX),07 NOV 2010
Erick Monyenye MOSE,2:25:05,León (MEX),20 SEP 2009
Mikhail KULKOV,8:35.12,Moskva (RUS),09 FEB 2008
Eric RÜTTIMANN,3:57.40,St. Gallen (SUI),20 JAN 2019
Eric RÜTTIMANN,4:09.63,St. Gallen (SUI),22 JAN 2012
Christian KREIENBÜHL,2:19:00,"Olympiastadion, Berlin (GER)",12 AUG 2018
Christian KREIENBÜHL,2:17:17,Berlin (GER),24 SEP 2017
Christian KREIENBÜHL,2:21:13,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Christian KREIENBÜHL,2:13:57,Berlin (GER),27 SEP 2015
Christian KREIENBÜHL,2:18:36,"Letzigrund, Zürich (SUI)",17 AUG 2014
Christian KREIENBÜHL,2:17:47,Zürich (SUI),07 APR 2013
Christian KREIENBÜHL,2:15:35,Berlin (GER),30 SEP 2012
Christian KREIENBÜHL,2:21:48,Zürich (SUI),17 APR 2011
Christian KREIENBÜHL,2:24:54,Zürich (SUI),11 APR 2010
Christian KREIENBÜHL,2:26:44,Frankfurt (GER),25 OCT 2009
Miguel FERRER,2:18:55,Sevilla (ESP),23 FEB 2020
Miguel FERRER,2:23:33,Barcelona (ESP),10 MAR 2019
Miguel FERRER,2:24:28,Castellón (ESP),19 FEB 2017
Miguel FERRER,2:21:40,Sevilla (ESP),21 FEB 2016
Miguel FERRER,2:27:13,Barcelona (ESP),15 MAR 2015
Peter WANJIRU,2:20:20,Xiamen (CHN),06 JAN 2019
Peter WANJIRU,2:24:46,Edinburgh (GBR),29 MAY 2016
Peter WANJIRU,2:19:36,Edinburgh (GBR),31 MAY 2015
Peter WANJIRU,2:18:05,Münster (GER),08 SEP 2013
Peter WANJIRU,2:12:11,Kraków (POL),22 APR 2012
Peter WANJIRU,2:15:25,Kraków (POL),17 APR 2011
Aaron EASKER,8:27.58,Mennomenie (USA),28 JAN 2017
Aaron EASKER,8:25.10,"Northfield, MN (USA)",30 JAN 2015
Aaron EASKER,8:43.11,"Menomonie, WI (USA)",24 FEB 2012
Aaron EASKER,8:39.22,"Platteville, WI (USA)",22 JAN 2011
Chi-ung YU,2:18:38,Seoul (KOR),04 NOV 2018
Chi-ung YU,2:15:37,Seoul (KOR),15 MAR 2015
Chi-ung YU,2:16:45,Seoul (KOR),16 MAR 2014
Sora TSUKADA,2:22:43,Gold Coast (AUS),07 JUL 2019
Sora TSUKADA,2:19:26,Kobe (JPN),18 NOV 2018
Sora TSUKADA,2:19:40,Sapporo (JPN),27 AUG 2017
Sora TSUKADA,2:15:16,Osaka (JPN),30 OCT 2016
Sora TSUKADA,2:17:52,Senshu (JPN),15 FEB 2015
Carlos COSTA,9:15.24,Maia (POR),26 JUN 2013
Matt HENSLEY,2:20:27,"Duluth, MN (USA)",22 JUN 2019
Matt HENSLEY,2:23:52,Rotterdam (NED),08 APR 2018
Matt HENSLEY,2:28:29,"Duluth, MN (USA)",17 JUN 2017
Matt HENSLEY,2:23:56,"Houston, TX (USA)",17 JAN 2016
Matt HENSLEY,2:20:53,"Chicago, IL (USA)",12 OCT 2014
Matt HENSLEY,2:23:16,"Chicago, IL (USA)",13 OCT 2013
Matt HENSLEY,2:23:12,"Orlando, FL (USA)",08 JAN 2012
Matt HENSLEY,2:29:27,"Chicago, IL (USA)",09 OCT 2011
Matt HENSLEY,2:23:34,"Chicago, IL (USA)",10 OCT 2010
Thomas PUZEY,2:20:19,"Houston, TX (USA)",20 JAN 2019
Thomas PUZEY,2:25:54,"Las Vegas, NV (USA)",11 NOV 2018
Thomas PUZEY,2:19:57,"Tempe, AZ (USA)",15 JAN 2017
Thomas PUZEY,2:25:22,"Tempe, AZ (USA)",17 JAN 2016
Thomas PUZEY,2:34:36,"Las Vegas, NV (USA)",14 NOV 2015
Thomas PUZEY,2:22:10,"Tempe, AZ (USA)",19 JAN 2014
Thomas PUZEY,2:33:27,"Honolulu, HI (USA)",09 DEC 2012
Thomas PUZEY,2:31:44,"Honolulu, HI (USA)",11 DEC 2011
Itsuki KANAMARU,2:22:22,Tokyo (JPN),03 MAR 2019
Naoki INOUE,2:18:43,Saitama (JPN),08 DEC 2019
Naoki INOUE,2:18:15,Tokyo (JPN),25 FEB 2018
Naoki INOUE,2:23:40,Tokyo (JPN),26 FEB 2017
Naoki INOUE,2:15:05,Hitachinaka (JPN),31 JAN 2016
Naoki INOUE,2:17:16,Otawara (JPN),23 NOV 2015
Naoki INOUE,2:20:02,Oita (JPN),02 FEB 2014
Naoki INOUE,2:19:03,Oita (JPN),03 FEB 2013
Naoki INOUE,2:15:38,Nobeoka (JPN),12 FEB 2012
Jacob LAW,2:22:11,"Atlanta, GA (USA)",29 FEB 2020
Jacob LAW,2:18:45,"Indianapolis, IN (USA)",09 NOV 2019
Artyom APLACHKIN,14:09.56,Moskva (RUS),15 FEB 2019
Artyom APLACHKIN,14:05.36,Moskva (RUS),14 FEB 2018
Artyom APLACHKIN,14:27.22,Moskva (RUS),21 FEB 2017
Artyom APLACHKIN,14:12.22,Moskva (RUS),25 FEB 2016
Artyom APLACHKIN,14:30.69,Moskva (RUS),14 FEB 2013
Geert Jan WASSINK,1:53.80,Gent (BEL),21 FEB 2004
Geert Jan WASSINK,1:56.27,Gent (BEL),16 FEB 2002
Geert Jan WASSINK,1:57.35,Gent (BEL),17 FEB 2001
Andres RUIZ MALAVER,2:18:14,Buenos Aires (ARG),22 SEP 2019
Andres RUIZ MALAVER,2:21:24,Montevideo (URU),15 APR 2018
Andres RUIZ MALAVER,2:23:58,Medellín (COL),17 SEP 2017
Andres RUIZ MALAVER,2:17:41,Torreón (MEX),05 MAR 2016
Andres RUIZ MALAVER,2:19:52,Santiago de Chile (CHI),12 APR 2015
Andres RUIZ MALAVER,2:26:52,Caracas (VEN),24 FEB 2013
Andres RUIZ MALAVER,2:28:07,Santander de Quilichao (COL),17 NOV 2012
Jaafar MORADI,2:21:50,Moskva (RUS),22 SEP 2019
Jaafar MORADI,2:21:31,Dongguan (CHN),26 NOV 2017
Jaafar MORADI,2:31:58,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Jaafar MORADI,2:17:41,Dubai (UAE),23 JAN 2015
Stewart HARWELL,2:18:33,"Houston, TX (USA)",19 JAN 2020
Stewart HARWELL,2:27:57,"Duluth, MN (USA)",22 JUN 2019
Stewart HARWELL,2:24:51,"Houston, TX (USA)",19 JAN 2014
David KIPKEOCH KIPSANG,2:21:19,Kaoshiung (TPE),17 FEB 2019
David KIPKEOCH KIPSANG,2:20:29,Manila (PHI),09 DEC 2018
David KIPKEOCH KIPSANG,2:26:10,Kaohsiung (TPE),08 MAR 2015
David KIPKEOCH KIPSANG,2:28:42,Kaohsiung (TPE),24 FEB 2013
David KIPKEOCH KIPSANG,2:23:54,Kinmen (TPE),26 FEB 2012
Yuki FUJII,2:26:13,Oita (JPN),02 FEB 2020
Yuki FUJII,2:19:41,Beppu (JPN),03 FEB 2019
Yuki FUJII,2:20:35,Tokyo (JPN),25 FEB 2018
Yuki FUJII,2:19:05,Otsu (JPN),05 MAR 2017
Yuki FUJII,2:19:08,Hofu (JPN),18 DEC 2016
Aaron NELSON,4:30.17,"Fairfax, VA (USA)",02 MAR 2014
Aaron NELSON,4:32.82,"Chapel Hill, NC (USA)",18 FEB 2012
José Amado GARCÍA,2:20:22,"Houston, TX (USA)",19 JAN 2020
José Amado GARCÍA,2:20:48,Rotterdam (NED),07 APR 2019
José Amado GARCÍA,2:18:54,Rotterdam (NED),09 APR 2017
José Amado GARCÍA,2:30:11,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
José Amado GARCÍA,2:15:25,Fukuoka (JPN),06 DEC 2015
José Amado GARCÍA,2:19:39,Torreón (MEX),02 MAR 2014
José Amado GARCÍA,2:15:52,Torreón (MEX),04 MAR 2012
José Amado GARCÍA,2:20:27,Guadalajara (MEX),30 OCT 2011
José Amado GARCÍA,2:21:35,Mayagüez (PUR),25 JUL 2010
José Amado GARCÍA,2:22:00,"Olympiastadion, Berlin (GER)",22 AUG 2009
José Amado GARCÍA,2:20:15,"National Stadium, Beijing (CHN)",24 AUG 2008
José Amado GARCÍA,2:14:27,Rio de Janeiro (BRA),29 JUL 2007
José Amado GARCÍA,2:14:52,Rotterdam (NED),04 APR 2004
Alex CHERUIYOT,2:17:02,Nairobi (KEN),27 OCT 2019
Alex CHERUIYOT,2:24:13,Nairobi (KEN),28 OCT 2018
Odkhuu GALERDENE,2:19:09,Gold Coast (AUS),07 JUL 2019
Toshiyuki FUJIMATSU,2:20:25,Kobe (JPN),17 NOV 2019
Toshiyuki FUJIMATSU,2:32:51,Oita (JPN),04 FEB 2018
Toshiyuki FUJIMATSU,2:20:36,Oita (JPN),05 FEB 2017
Toshiyuki FUJIMATSU,2:19:08,Hofu (JPN),20 DEC 2015
Toshiyuki FUJIMATSU,2:18:35,Tokyo (JPN),23 FEB 2014
Fabian ANRIG,2:19:10,Valencia (ESP),01 DEC 2019
Fabian ANRIG,2:27:23,Luzern (SUI),29 OCT 2017
Alex BARTILOL,2:19:50,Libreville (GAB),01 DEC 2019
Alex BARTILOL,2:13:48,Madrid (ESP),22 APR 2018
Alex BARTILOL,2:12:37,København (DEN),21 MAY 2017
Alex BARTILOL,2:19:36,Kigali (RWA),18 MAY 2014
Alex BARTILOL,2:21:32,Eldoret (KEN),17 NOV 2013
David MANSFIELD,2:22:06,Rotterdam (NED),07 APR 2019
David MANSFIELD,2:20:15,Dublin (IRL),28 OCT 2018
David MANSFIELD,2:26:43,Dublin (IRL),29 OCT 2017
David MANSFIELD,2:27:34,Dublin (IRL),30 OCT 2016
David MANSFIELD,2:30:47,Dublin (IRL),26 OCT 2015
David MANSFIELD,2:35:14,Cork City (IRL),02 JUN 2014
Joseph MWANGI,2:24:03,Kuching (MAS),18 AUG 2019
Joseph MWANGI,2:34:37,Georgetown (MAS),02 DEC 2018
Joseph MWANGI,2:22:22,Hong Kong (HKG),12 FEB 2017
Joseph MWANGI,2:25:57,Kuala Lumpur (MAS),07 AUG 2016
Joseph MWANGI,2:15:44,Hong Kong (HKG),25 JAN 2015
Yoshiki OTSUKA,2:16:02,Otsu (JPN),10 MAR 2019
Yoshiki OTSUKA,2:14:32,Oita (JPN),04 FEB 2018
Yoshiki OTSUKA,2:17:58,Oita (JPN),05 FEB 2017
Yoshiki OTSUKA,2:20:44,Fukuoka (JPN),04 DEC 2016
Yoshiki OTSUKA,2:12:46,Fukuoka (JPN),06 DEC 2015
Yoshiki OTSUKA,2:11:40,Fukuoka (JPN),07 DEC 2014
Yoshiki OTSUKA,2:12:51,Oita (JPN),03 FEB 2013
Yoshiki OTSUKA,2:14:12,Otsu (JPN),04 MAR 2012
Yoshiki OTSUKA,2:16:10,Fukuoka (JPN),04 DEC 2011
Yoshiki OTSUKA,2:21:54,Sapporo (JPN),29 AUG 2010
Moses Kibire KIPRUTO,2:19:12,Radenci (SLO),18 MAY 2019
Moses Kibire KIPRUTO,2:22:52,Wrocław (POL),09 SEP 2018
Moses Kibire KIPRUTO,2:19:49,Debno (POL),02 APR 2017
Moses Kibire KIPRUTO,2:16:19,Sofia (BUL),09 OCT 2016
Moses Kibire KIPRUTO,2:16:42,Sofia (BUL),04 OCT 2015
Moses Kibire KIPRUTO,2:17:24,Zagreb (CRO),12 OCT 2014
Moses Kibire KIPRUTO,2:31:06,Frankfurt (GER),31 OCT 2010
Marc ROIG,8:37.00,Sabadell (ESP),25 JAN 2015
Marc ROIG,8:34.29,Sabadell (ESP),15 JAN 2012
Marc ROIG,8:23.93,Sabadell (ESP),09 JAN 2011
Dean MENZIES,2:19:57,Otsu (JPN),08 MAR 2020
Dean MENZIES,2:21:23,Melbourne (AUS),13 OCT 2019
Chris THOMPSON,9:06.20,Bedford (GBR),05 JUL 1998
Nick GOLEBIOWSKI,8:15.58,"Clemson, SC (USA)",26 JAN 2019
Nick GOLEBIOWSKI,8:16.33,"New York, NY (USA)",27 JAN 2018
Nick GOLEBIOWSKI,8:23.78,"Boston, MA (USA)",11 FEB 2017
Tyler MORSE,8:25.06,"Terre Haute, IN (USA)",13 JAN 2017
Tyler MORSE,8:27.64,"Champaign, IL (USA)",20 FEB 2016
Tyler MORSE,8:24.66,"Cedar Falls, IA (USA)",01 MAR 2015
Tyler MORSE,8:45.85,"Terre Haute, IN (USA)",17 JAN 2014
Tyler MORSE,8:38.57,"Cedar Falls, IA (USA)",23 FEB 2013
Isaac Kimutai NGENO,2:19:40,Mont-Saint-Michel (FRA),26 MAY 2019
Isaac Kimutai NGENO,2:23:04,Podgorica (MNE),28 OCT 2018
Isaac Kimutai NGENO,2:18:30,Moshi (TAN),26 FEB 2017
Isaac Kimutai NGENO,2:27:56,Eldoret (KEN),17 NOV 2013
Isaac Kimutai NGENO,2:18:46,Nairobi (KEN),31 OCT 2010
Isaac Kimutai NGENO,2:20:56,Frankfurt (GER),25 OCT 2009
Kenedy Kiptoo LILAN,2:18:43,Kaoshiung (TPE),17 FEB 2019
Kenedy Kiptoo LILAN,2:18:43,Kuala Lumpur (MAS),08 APR 2018
Kenedy Kiptoo LILAN,2:19:31,Bali (INA),27 AUG 2017
Kenedy Kiptoo LILAN,2:11:42,Zhengzhou (CHN),27 MAR 2016
Kenedy Kiptoo LILAN,2:17:19,Bali (INA),30 AUG 2015
Kenedy Kiptoo LILAN,2:16:47,Jakarta (INA),26 OCT 2014
Kenedy Kiptoo LILAN,2:14:55,Hong Kong (HKG),24 FEB 2013
Kenedy Kiptoo LILAN,2:12:42,Hong Kong (HKG),05 FEB 2012
Kenedy Kiptoo LILAN,2:13:07,Macao (MAC),04 DEC 2011
Kenedy Kiptoo LILAN,2:16:10,Bangkok (THA),21 NOV 2010
Kenedy Kiptoo LILAN,2:23:55,Penang (MAS),22 NOV 2009
Mohammed MUSSA,2:18:28,Dakar (SEN),14 APR 2019
Mohammed MUSSA,2:28:24,Libreville (GAB),02 DEC 2018
Mohammed MUSSA,2:15:14,Venezia (ITA),22 OCT 2017
Mohammed MUSSA,2:25:27,Dubai (UAE),27 JAN 2012
Yuki NAKAMURA,2:11:58,Oita (JPN),02 FEB 2020
Yuki NAKAMURA,2:30:23,Otsu (JPN),10 MAR 2019
Yuki NAKAMURA,2:12:58,Tokyo (JPN),26 FEB 2017
Yuki NAKAMURA,2:15:52,Tokyo (JPN),24 FEB 2013
Yuki NAKAMURA,2:12:52,Tokyo (JPN),26 FEB 2012
Yuki NAKAMURA,2:18:51,Oita (JPN),06 FEB 2011
Charlie HURT,2:22:17,"Atlanta, GA (USA)",29 FEB 2020
Charlie HURT,2:27:11,"Eugene, OR (USA)",28 APR 2019
Charlie HURT,2:21:29,"Philadelphia, PA (USA)",20 NOV 2016
Charlie HURT,2:32:38,St. Paul (USA),06 OCT 2013
Charlie HURT,2:25:54,"Chicago, IL (USA)",07 OCT 2012
Charlie HURT,2:26:42,St. Paul (USA),03 OCT 2010
Charlie HURT,2:28:05,"Chicago, IL (USA)",11 OCT 2009
Adam SCHROER,2:23:15,"Houston, TX (USA)",20 JAN 2019
Adam SCHROER,2:25:59,"Chicago, IL (USA)",13 OCT 2013
Fredrick Murabula MONYANGO,2:12:40,Nairobi (KEN),27 OCT 2019
Fredrick Murabula MONYANGO,2:29:31,Nairobi (KEN),28 OCT 2018
Fredrick Murabula MONYANGO,2:16:19,Nairobi (KEN),25 OCT 2009
Atlaw DEBEBE,2:20:19,Khon Kaen (THA),27 JAN 2019
Ramiro GUILLEN,2:34:02,"Atlanta, GA (USA)",29 FEB 2020
Ramiro GUILLEN,2:22:00,"Chicago, IL (USA)",13 OCT 2019
Ramiro GUILLEN,2:23:33,"Chicago, IL (USA)",11 OCT 2015
Ramiro GUILLEN,2:27:14,"Chicago, IL (USA)",13 OCT 2013
Yusei ITO,2:20:55,Tokyo (JPN),01 MAR 2020
Yusei ITO,2:20:48,Kobe (JPN),17 NOV 2019
Yusei ITO,2:28:38,Osaka (JPN),25 NOV 2018
Kaito IWASA,2:19:51,Otsu (JPN),08 MAR 2020
Turner WILEY,8:58.04,"Nampa, ID (USA)",20 FEB 2016
Turner WILEY,8:58.60,"Nampa, ID (USA)",21 FEB 2015
Khalid LABLAQ,2:21:43,Fes (MAR),12 JAN 2020
Khalid LABLAQ,2:20:07,La Rochelle (FRA),24 NOV 2019
Khalid LABLAQ,2:29:17,Marseille (FRA),19 MAR 2017
Khalid LABLAQ,2:22:26,Tunis (TUN),20 NOV 2016
Khalid LABLAQ,2:16:38,Köln (GER),04 OCT 2015
Khalid LABLAQ,2:21:55,Leiden (NED),18 MAY 2014
Khalid LABLAQ,2:17:57,Beirut (LBN),10 NOV 2013
Khalid LABLAQ,2:14:38,Sfax (TUN),16 DEC 2012
Yuji SHIBUKAWA,2:20:14,Tokyo (JPN),01 MAR 2020
Ousman JAITEH,2:22:06,Milano (ITA),07 APR 2019
Rene' CUNEAZ,9:33.54,Milano (ITA),09 MAY 2015
Rene' CUNEAZ,9:33.61,Milano (ITA),28 JUN 2014
Rene' CUNEAZ,9:31.07,Torino (ITA),13 JUL 2013
Rene' CUNEAZ,9:48.06,Donnas (ITA),29 MAY 2011
Joey ELSAKR,2:19:01,"Indianapolis, IN (USA)",09 NOV 2019
Joey ELSAKR,2:34:49,"Albany, NY (USA)",07 MAR 2015
Joey ELSAKR,2:24:20,"Indianapolis, IN (USA)",01 NOV 2014
Hironao AKIZAWA,2:18:15,Otsu (JPN),08 MAR 2020
Hironao AKIZAWA,2:23:41,Otsu (JPN),10 MAR 2019
Greg LEAK,8:39.39,"Lewisburg, PA (USA)",13 FEB 2010
Sho MATSUMOTO,2:20:30,Tokyo (JPN),01 MAR 2020
Sho MATSUMOTO,2:21:27,Tokyo (JPN),03 MAR 2019
Sho MATSUMOTO,2:18:39,Otsu (JPN),04 MAR 2018
Sho MATSUMOTO,2:17:34,Tokyo (JPN),26 FEB 2017
Sho MATSUMOTO,2:15:50,Osaka (JPN),30 OCT 2016
Sho MATSUMOTO,2:16:18,Nagano (JPN),19 APR 2015
Sho MATSUMOTO,2:14:54,Osaka (JPN),26 OCT 2014
Sho MATSUMOTO,2:13:38,Nobeoka (JPN),10 FEB 2013
Sho MATSUMOTO,2:18:59,Fukuoka (JPN),02 DEC 2012
Myeong-jun KIM,2:20:00,"Olympic Stadium, Jamsil, Seoul (KOR)",06 OCT 2019
Josh HIBBS,8:20.74,"New York, NY (USA)",05 MAR 2011
Josh HIBBS,8:26.56,"New York, NY (USA)",05 MAR 2010
Josh HIBBS,8:34.50,"New York, NY (USA)",23 FEB 2007
Jeffrey STEIN,2:19:35,"Houston, TX (USA)",19 JAN 2020
Jeffrey STEIN,2:26:32,"Sacramento, CA (USA)",08 DEC 2019
Jeffrey STEIN,2:21:21,Edinburgh (GBR),27 MAY 2018
Jeffrey STEIN,2:30:53,"Washington, DC (USA)",22 OCT 2017
Jeffrey STEIN,2:26:39,"New York, NY (USA)",06 NOV 2016
Zhao HAO,2:19:53,Berlin (GER),29 SEP 2019
Zhao HAO,2:23:56,Shanghai (CHN),18 NOV 2018
Said AARAB,2:19:49,Fes (MAR),12 JAN 2020
Said AARAB,2:24:50,Rabat (MAR),21 APR 2019
Manabu YAMADA,2:21:35,Oita (JPN),02 FEB 2020
Manabu YAMADA,2:19:15,Kobe (JPN),19 NOV 2017
Chris BURNETT,8:39.93,"Lincoln, NE (USA)",24 JAN 2015
Eliud BIWOTT,2:21:12,Johannesburg (RSA),26 JAN 2020
Eliud BIWOTT,2:21:31,Mossel Bay (RSA),24 AUG 2019
Sergio PEDRAZA GONZÁLEZ,2:19:42,Torreón (MEX),01 MAR 2020
Sergio PEDRAZA GONZÁLEZ,2:22:52,Valencia (ESP),01 DEC 2019
Sergio PEDRAZA GONZÁLEZ,2:18:05,Torreón (MEX),05 MAR 2016
Sergio PEDRAZA GONZÁLEZ,2:17:21,Torreón (MEX),03 MAR 2013
Sergio PEDRAZA GONZÁLEZ,2:15:40,Paris (FRA),15 APR 2012
Sergio PEDRAZA GONZÁLEZ,2:21:31,Caracas (VEN),20 FEB 2011
Sergio PEDRAZA GONZÁLEZ,2:18:12,Guadalajara (MEX),07 NOV 2010
Sergio PEDRAZA GONZÁLEZ,2:18:43,Torreón (MEX),01 MAR 2009
Degefa BEKELE,2:20:37,Khon Kaen (THA),26 JAN 2020
Degefa BEKELE,2:22:02,Bangalore (IND),07 DEC 2019
Juan Carlos ROMERO BERNAL,2:18:57,Berlin (GER),29 SEP 2019
Juan Carlos ROMERO BERNAL,2:20:55,"Houston, TX (USA)",14 JAN 2018
Juan Carlos ROMERO BERNAL,2:29:02,"Houston, TX (USA)",15 JAN 2017
Juan Carlos ROMERO BERNAL,2:28:12,Rotterdam (NED),10 APR 2016
Juan Carlos ROMERO BERNAL,2:14:47,Torreón (MEX),04 MAR 2012
Juan Carlos ROMERO BERNAL,2:28:17,"Chicago, IL (USA)",10 OCT 2010
Juan Carlos ROMERO BERNAL,2:18:49,Torreón (MEX),03 MAR 2008
Juan Carlos ROMERO BERNAL,2:20:50,Torreón (MEX),04 MAR 2007
Peter KIPLETING,2:26:31,Ho Chi-Minh (VIE),08 DEC 2019
Peter KIPLETING,2:20:29,Jakarta (INA),28 OCT 2018
Peter KIPLETING,2:23:58,Khon Kaen (THA),29 JAN 2017
