Name,Score
Kosuke Tsujimura,1028
Jarrett Leblanc,1028
Raymond Bett,1028
Feyera Gemeda,1028
Tony Ah-Thit Payne,1028
Alessio Terrasi,1028
Adamu Girma,1028
Mohamed Fathi,1028
Yosuke Tokuoka,1027
Kiya Dandena,1027
Kouta Otani,1027
Vincent Kiptoo,1027
Kinya Hashira,1027
Isaac Mpofu,1027
Hailemariam Atsebha Kahsay,1027
Mike Sayenko,1027
David Flynn,1026
Aki Nummela,1026
Pardon Ndhlovu,1026
Daniel Ortiz Perez,1026
Matt Herzig,1026
Tesfay Felfele,1026
Tasama Moogas,1026
Travis Morrison,1025
Oier Ariznabarreta,1025
Sohei Morikawa,1024
Daniel Studley,1024
Francesco Bona,1024
Lindikhaya Mhtangayi,1024
Ben Payne,1024
Isaac Kemboi Kimaiyo,1024
Fetene Alemu Regasa,1024
Jon Phillips,1023
Ryuta Matoba,1023
Bijan Mazaheri,1023
Gantulga Dambadarjaa,1023
Julius Kibet Koskei,1023
Dejene Kelkilew,1023
Will Norris,1022
Benard Chepkwony,1022
Chiharu Takada,1022
Connor Reck,1022
Tim Young,1022
Junichi Ushiyama,1022
Rory Tunningley,1022
Tetsuya Kimura,1021
Eliud N'Getich,1021
Kiyohiro Watanabe,1021
Tachlowini Gabriyesos,1021
Kum Dang Pak,1021
Ndiwa Sakong,1021
Craig Leon,1021
Ronald Schroer,1020
Péter Jenkei,1020
Brendan Martin,1020
Evan Landes,1020
John Muiriri,1020
Renxue Zhu,1019
Bugatha Srinu,1019
Tomohiro Kaijo,1019
Rabson Chigara,1019
James Wilson,1019
Reed Fischer,1019
Takaki Mori,1018
Tatuya Maruyama,1018
Xiangdong Wu,1018
Kamil Karbowiak,1017
Jeison Alexander Suarez,1017
Julius Kipngetich,1017
Chris Bendtsen,1017
Ezekiel Kipchumba,1017
Jānis Višķers,1017
Yusuf Alici,1016
Gáspár Csere,1016
Nathan Martin,1016
Mark Leinenger,1016
Charles Kigen,1016
Steven Martinez,1016
Patrick Campbell,1016
